"ID","uso_internet","sexo","edad","estudios"
"1",0,"Mujer",66,"Primaria"
"2",1,"Hombre",72,"Primaria"
"3",1,"Hombre",48,"Universitarios"
"4",0,"Hombre",59,"Maestría"
"5",1,"Mujer",44,"Maestría"
"6",1,"Mujer",34,"Maestría"
"7",1,"Mujer",49,"Maestría"
"8",1,"Hombre",43,"Universitarios"
"9",1,"Hombre",23,"Primaria"
"10",1,"Hombre",29,"Form Profesional"
"11",0,"Mujer",73,"Primaria"
"12",0,"Mujer",42,"Primaria"
"13",1,"Mujer",26,"Primaria"
"14",0,"Mujer",48,"Primaria"
"15",0,"Hombre",79,"Sin estudios"
"16",1,"Hombre",38,"Primaria"
"17",0,"Mujer",61,"Primaria"
"18",1,"Hombre",34,"Form Profesional"
"19",1,"Mujer",40,"Primaria"
"20",1,"Mujer",19,"Primaria"
"21",1,"Mujer",30,"Secundaria"
"22",0,"Mujer",84,"Primaria"
"23",0,"Hombre",51,"Primaria"
"24",1,"Hombre",62,"Maestría"
"25",0,"Hombre",37,"Primaria"
"26",0,"Mujer",67,"Primaria"
"27",1,"Mujer",24,"Form Profesional"
"28",0,"Hombre",52,"Primaria"
"29",0,"Hombre",70,"Sin estudios"
"30",1,"Hombre",25,"Primaria"
"31",0,"Mujer",27,"Primaria"
"32",1,"Mujer",43,"Maestría"
"33",1,"Hombre",24,"Universitarios"
"34",0,"Mujer",65,"Sin estudios"
"35",0,"Mujer",63,"Primaria"
"36",0,"Mujer",32,"Form Profesional"
"37",1,"Hombre",22,"Secundaria"
"38",0,"Hombre",61,"Primaria"
"39",1,"Hombre",49,"Secundaria"
"40",0,"Mujer",54,"Primaria"
"42",1,"Hombre",31,"Primaria"
"43",0,"Mujer",42,"Primaria"
"44",1,"Hombre",22,"Universitarios"
"45",0,"Mujer",65,"Primaria"
"46",0,"Mujer",43,"Primaria"
"47",1,"Hombre",64,"Universitarios"
"48",0,"Mujer",29,"Primaria"
"49",1,"Hombre",26,"Primaria"
"50",1,"Mujer",29,"Maestría"
"51",0,"Hombre",54,"Secundaria"
"52",0,"Mujer",90,"Primaria"
"53",0,"Hombre",79,"Sin estudios"
"54",0,"Hombre",38,"Primaria"
"55",0,"Hombre",65,"Primaria"
"56",0,"Mujer",61,"Primaria"
"57",0,"Mujer",53,"Secundaria"
"58",1,"Hombre",39,"Primaria"
"59",0,"Mujer",74,"Primaria"
"60",1,"Mujer",29,"Secundaria"
"61",0,"Mujer",49,"Primaria"
"62",0,"Hombre",54,"Primaria"
"63",0,"Hombre",64,"Primaria"
"64",0,"Hombre",29,"Primaria"
"65",1,"Hombre",19,"Form Profesional"
"66",0,"Mujer",44,"Primaria"
"67",1,"Mujer",31,"Primaria"
"68",1,"Hombre",40,"Primaria"
"69",0,"Mujer",30,"Primaria"
"70",0,"Hombre",46,"Primaria"
"71",1,"Hombre",34,"Primaria"
"72",0,"Mujer",76,"Sin estudios"
"73",0,"Hombre",74,"Sin estudios"
"74",0,"Mujer",61,"Sin estudios"
"75",0,"Mujer",50,"Primaria"
"76",0,"Mujer",57,"Primaria"
"77",0,"Mujer",66,"Primaria"
"78",1,"Hombre",25,"Primaria"
"79",1,"Mujer",40,"Universitarios"
"80",0,"Hombre",58,"Primaria"
"81",0,"Hombre",73,"Primaria"
"82",1,"Mujer",27,"Maestría"
"83",0,"Hombre",41,"Form Profesional"
"84",0,"Hombre",51,"Form Profesional"
"85",0,"Hombre",47,"Primaria"
"86",0,"Hombre",43,"Primaria"
"87",1,"Mujer",23,"Primaria"
"88",1,"Mujer",29,"Primaria"
"89",1,"Mujer",47,"Maestría"
"90",0,"Mujer",61,"Sin estudios"
"91",1,"Hombre",21,"Secundaria"
